id_poliza,edad,sexo,producto,suma_asegurada,prima_anual,fecha_inicio
P1118,60,M,Mixto,236156,125.73,2022-09-09
P1119,48,F,Vida Riesgo,178964,119.15,2018-12-10
P1120,34,F,Vida Ahorro,11015,5.85,2014-12-22
P1121,64,M,Vida Riesgo,71813,41.95,2010-05-16
P1122,20,F,Vida Riesgo,37712,20.39,2023-03-19
P1123,44,M,Vida Riesgo,110497,39.06,2021-10-13
P1124,26,F,Vida Riesgo,252926,98.33,2018-10-29
P1125,28,M,Vida Riesgo,122816,64.34,2021-11-26
P1126,43,M,Vida Riesgo,138778,93.36,2018-12-11
P1127,20,M,Dependencia,72292,99.02,2015-12-30
P1128,63,F,Vida Riesgo,295977,196.24,2013-06-22
P1129,27,F,Vida Riesgo,145230,76.75,2022-02-14
P1130,43,M,Mixto,203752,208.63,2020-08-27
P1131,30,F,Mixto,292453,388.37,2013-10-06
P1132,70,M,Vida Riesgo,279114,105.03,2013-04-27
P1133,36,M,Vida Ahorro,161456,212.21,2014-09-09
P1134,27,F,Vida Ahorro,290161,533.44,2018-12-14
P1135,54,F,Vida Riesgo,115570,38.95,2024-06-09
P1136,54,M,Dependencia,280846,130.9,2013-07-04
P1137,52,F,Mixto,10404,9.42,2018-02-12
P1138,78,F,Vida Riesgo,188998,94.17,2012-02-03
P1139,24,M,Vida Riesgo,284907,135.89,2014-02-12
P1140,61,M,Dependencia,159456,107.86,2024-01-07
P1141,58,F,Vida Ahorro,201172,149.55,2017-09-30
P1142,77,M,Vida Ahorro,150932,78.45,2021-06-25
P1143,60,M,Vida Ahorro,245365,171.68,2020-04-11
P1144,47,F,Vida Ahorro,60612,55.46,2019-09-06
P1145,26,M,Dependencia,295718,198.54,2010-06-11
P1146,28,M,Dependencia,295668,205.15,2013-01-13
P1147,27,F,Mixto,210244,275.27,2012-10-28
P1148,31,F,Vida Ahorro,283060,422.9,2013-01-20
P1149,53,M,Mixto,14809,6.33,2012-08-02
P1150,52,M,Vida Ahorro,173273,111.74,2013-08-14
P1151,67,F,Vida Ahorro,194402,108.28,2014-08-04
P1152,74,F,Vida Riesgo,154528,58.63,2016-11-27
P1153,42,F,Mixto,48765,44.76,2013-06-15
P1154,43,F,Mixto,31949,34.17,2024-02-23
P1155,56,M,Vida Ahorro,211152,131.83,2014-03-29
P1156,54,F,Mixto,186615,109.17,2022-03-22
P1157,63,F,Vida Ahorro,102193,44.69,2022-05-20
P1158,59,M,Vida Riesgo,46187,25.91,2014-08-14
P1159,41,F,Vida Riesgo,148311,87.59,2014-06-28
P1160,46,M,Vida Riesgo,286633,159.89,2013-09-08
P1161,54,F,Vida Riesgo,199089,115.3,2017-01-15
P1162,20,F,Vida Riesgo,71877,36.41,2023-03-14
P1163,54,F,Vida Ahorro,104074,36.93,2010-07-13
P1164,56,M,Vida Riesgo,173121,98.04,2024-06-09
P1165,66,M,Vida Ahorro,47131,19.47,2019-09-06
P1166,33,F,Vida Riesgo,125765,88.85,2016-05-20
P1167,22,M,Vida Ahorro,116884,183.38,2010-10-01
P1168,20,M,Vida Riesgo,135917,205.23,2012-09-06
P1169,24,M,Vida Riesgo,296429,197.65,2022-12-08
P1170,45,M,Vida Ahorro,183880,184.47,2024-03-03
P1171,74,M,Vida Ahorro,291342,117.39,2022-02-24
P1172,33,M,Vida Riesgo,25254,30.35,2016-10-17
P1173,58,F,Dependencia,54238,30.79,2019-06-15
P1174,46,F,Vida Riesgo,11252,12.21,2017-04-15
P1175,28,M,Vida Ahorro,91317,130.77,2011-09-12
P1176,34,F,Dependencia,88587,99.74,2013-10-11
P1177,34,F,Vida Ahorro,16949,20.51,2017-09-20
P1178,45,F,Vida Ahorro,248897,86.98,2023-01-15
P1179,61,F,Vida Ahorro,214625,63.97,2023-07-15
P1180,79,M,Vida Ahorro,148013,72.25,2017-07-12
P1181,32,F,Mixto,35934,33.42,2023-03-29
P1182,70,F,Vida Riesgo,266434,152.95,2024-01-17
P1183,51,M,Vida Riesgo,260875,72.21,2024-05-21
P1184,58,M,Vida Ahorro,80390,43.6,2017-09-27
P1185,68,F,Mixto,193401,71.54,2020-12-01
P1186,71,F,Vida Ahorro,263490,104.95,2021-12-06
P1187,51,F,Vida Riesgo,53088,35.56,2013-01-07
P1188,23,F,Vida Ahorro,257940,310.47,2019-06-13
P1189,49,F,Mixto,226464,146.02,2015-11-12
P1190,56,F,Vida Riesgo,228441,120.15,2012-03-10
P1191,42,M,Vida Riesgo,292107,183.32,2020-11-20
P1192,58,F,Vida Ahorro,135911,95.78,2014-04-10
P1193,64,F,Vida Ahorro,233777,38.31,2015-11-15
P1194,34,M,Vida Riesgo,286532,286.01,2020-01-27
P1195,62,M,Vida Riesgo,15569,8.19,2012-11-26
P1196,48,M,Vida Riesgo,79836,64.28,2021-10-31
P1197,55,M,Vida Riesgo,114573,70.75,2011-10-09
P1198,32,F,Dependencia,268090,360.85,2011-02-14
P1199,51,F,Mixto,153087,145.17,2021-08-21
